,frame_id,time,data,dlc,flags,msg_name,msg_comment,signals
566,37,4311,bytearray(b'\x0f\xfa \x03\xff\xf3\x00K'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
567,705,4316,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
568,37,4321,bytearray(b'\x0f\xfa \x03\xff\xf6\x00N'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
569,37,4331,bytearray(b'\x0f\xfa \x03\xff\xf8\x00P'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
570,37,4341,bytearray(b'\x0f\xfa \x03\xff\xf9\x00Q'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
571,705,4348,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
572,37,4351,bytearray(b'\x0f\xfa \x03\xff\xfa\x00R'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
573,37,4361,bytearray(b'\x0f\xfa \x03\xff\xfb\x00S'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
574,37,4371,bytearray(b'\x0f\xfa \x03\xff\xfb\x00S'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
575,705,4379,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
576,37,4381,bytearray(b'\x0f\xfa \x03\xff\xfc\x00T'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
577,37,4391,bytearray(b'\x0f\xfa \x03\xff\xfc\x00T'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
578,37,4401,bytearray(b'\x0f\xfa \x03\xff\xfd\x00U'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
579,37,4411,bytearray(b'\x0f\xfa \x03\x0f\xfd\x00e'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
580,705,4412,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
581,37,4421,bytearray(b'\x0f\xfa \x03\x1f\xfd\x00u'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
582,37,4431,bytearray(b'\x0f\xfa \x03?\xfd\x00\x95'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
583,37,4441,bytearray(b'\x0f\xfa \x03_\xfe\x00\xb6'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
584,705,4443,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
585,37,4451,bytearray(b'\x0f\xfa \x03p\x00\x00\xc9'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
586,37,4461,bytearray(b'\x0f\xfb \x03\xb0\x02\x00\x0c'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -7.5, 'deg']]"
587,37,4471,bytearray(b'\x0f\xfb \x03\xd0\x17\x00A'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -7.5, 'deg']]"
588,705,4475,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
589,37,4481,bytearray(b'\x0f\xfb \x03\x00\x17\x00q'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -7.5, 'deg']]"
590,37,4491,bytearray(b'\x0f\xfb \x030\x1b\x00\xa5'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -7.5, 'deg']]"
591,37,4501,bytearray(b'\x0f\xfb \x03p\x1d\x00\xe7'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -7.5, 'deg']]"
592,705,4506,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
593,37,4511,bytearray(b'\x0f\xfc \x03\xc0)\x00D'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -6.0, 'deg']]"
