,time,frame_id,msg_name,signals
620,4084,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -445.5, 'deg']]"
621,4084,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 3.73046875, 'km/h']]"
622,4094,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -445.5, 'deg']]"
623,4094,705,ENG1S01,"[['EACCP', 0.5, '%']]"
624,4105,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -445.5, 'deg']]"
625,4114,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -447.0, 'deg']]"
626,4124,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -447.0, 'deg']]"
627,4126,705,ENG1S01,"[['EACCP', 0.0, '%']]"
628,4132,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 3.80078125, 'km/h']]"
629,4134,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -447.0, 'deg']]"
630,4145,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -448.5, 'deg']]"
631,4154,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -448.5, 'deg']]"
632,4157,705,ENG1S01,"[['EACCP', 0.0, '%']]"
633,4164,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -448.5, 'deg']]"
634,4174,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -450.0, 'deg']]"
635,4180,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 4.11328125, 'km/h']]"
636,4185,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -450.0, 'deg']]"
637,4189,705,ENG1S01,"[['EACCP', 0.0, '%']]"
638,4194,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -450.0, 'deg']]"
639,4204,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -451.5, 'deg']]"
640,4214,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -451.5, 'deg']]"
641,4221,705,ENG1S01,"[['EACCP', 0.0, '%']]"
642,4225,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -451.5, 'deg']]"
643,4228,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 4.34765625, 'km/h']]"
644,4234,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -451.5, 'deg']]"
645,4244,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -453.0, 'deg']]"
646,4253,705,ENG1S01,"[['EACCP', 0.0, '%']]"
647,4254,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -453.0, 'deg']]"
648,4265,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -453.0, 'deg']]"
649,4274,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -454.5, 'deg']]"
650,4276,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 4.5234375, 'km/h']]"
651,4284,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -454.5, 'deg']]"
652,4284,705,ENG1S01,"[['EACCP', 0.0, '%']]"
653,4294,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -454.5, 'deg']]"
654,4304,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -454.5, 'deg']]"
655,4313,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -456.0, 'deg']]"
656,4316,705,ENG1S01,"[['EACCP', 0.0, '%']]"
657,4324,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 4.65625, 'km/h']]"
658,4324,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -456.0, 'deg']]"
659,4334,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -456.0, 'deg']]"
660,4344,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -457.5, 'deg']]"
661,4348,705,ENG1S01,"[['EACCP', 0.0, '%']]"
662,4354,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -457.5, 'deg']]"
663,4364,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -457.5, 'deg']]"
664,4372,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 4.9140625, 'km/h']]"
665,4373,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -457.5, 'deg']]"
666,4380,705,ENG1S01,"[['EACCP', 0.0, '%']]"
667,4385,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -459.0, 'deg']]"
668,4394,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -459.0, 'deg']]"
669,4404,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -459.0, 'deg']]"
670,4411,705,ENG1S01,"[['EACCP', 0.0, '%']]"
671,4414,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -460.5, 'deg']]"
672,4421,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 5.109375, 'km/h']]"
673,4424,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -460.5, 'deg']]"
674,4434,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -460.5, 'deg']]"
675,4444,705,ENG1S01,"[['EACCP', 0.0, '%']]"
676,4444,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -460.5, 'deg']]"
677,4454,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -462.0, 'deg']]"
678,4464,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -462.0, 'deg']]"
